DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region
8; Atlánt>ico ;8573;Puer&to   Colombia   ;73,70969519;55835;12,3;Región Caribe
8;Atlántico;8606;R#epelón ;335,8536688;29193;32,3;Región Caribe
8;   Atlánt>ico   ;8634; S*a!banagran&#de ;43,52208568;36547;4,6;Región Caribe
8; Atl%ántico;8638;Sabana'l!a&rga *  ;429,8174417;104983;24,9;Región Caribe
8;   Atlántico   ;8675;Santa L&ucía;55,15370207;18054;14,1;Región Caribe
8;Atl%ánt>ico;8685;   San*to   T'#omás;66,13080784;33555;5,5;Región Caribe
8;Atl%ántico;8758;   So&l?#e*dad;59,35943292;686339;0,1;Región Caribe
8;Atlántico;8770;Su#an;41,27226566;13274;6,4;Región Caribe
8;Atlántico;8832;  ' T!#u*b&ará   ;199,2753496;19362;49,2;Región Caribe
8;   Atlántico;8849; !U?&siacurí;96,89637492;13779;6,6;Región Caribe
11;Bogotá   D   C   ;11001;Bogo*tá? &D C;1766,442724;7937898;0,4;Región Centro Oriente
13;   Bolívar   ;13001;C#?&artage!na   ;580,0920393;1065881;11,7;Región Caribe
13; Bo%lí>var ;13006; ?A!ch*&í ;999,9787753;27510;80,1;Región Caribe
13;   Bo%lí>var;13030;   Al'tos  # del   Rosa?rio   ;299,2077825;12279;66,7;Región Caribe
13;   Bolívar   ;13042; &  !Arenal;486,8662621;8051;41,3;Región Caribe
13;   Bolívar;13052; !&Arjona;630,8872195;76455;22,8;Región Caribe
13;Bolívar;13062;Arroyohon'do&   ;148,271388;8872;45,5;Región Caribe
13;Bolívar;13074; Barranco' de Loba ;457,3837263;16421;63,3;Región Caribe
13;   Bolívar;13140; *C?alama!r ;236,254849;24982;44,9;Región Caribe
13;Bo%lívar   ;13160;Cant!aga?llo;900,6150845;9148;46,8;Región Caribe
13;Bolív>ar   ;13188;C*?!i'c#uco;120,7497647;14845;37,1;Región Caribe
13; Bolí>var ;13212; #Córdoba;612,7712592;17685;78,9;Región Caribe
13;Bolívar   ;13222;   Cl#eme*ncia ?  ;89,20526586;16365;17,4;Región Caribe
13;Bolívar ;13244; El Carmen *de# &Bolív?ar;922,8232865;77061;28,6;Región Caribe
13;Bolívar   ;13248; #  El*   'Guamo!   ;376,8594843;9549;48,4;Región Caribe
13; Bolívar ;13268;   El * &# !Peñón   ;302,9218212;8209;65,3;Región Caribe
13;   Bo%lí>var   ;13300;Hatillo *&de Loba ;206,5910327;13353;77,5;Región Caribe
13; Bo%lívar;13430; Mag&ang*ué ;1242,531585;147190;32,8;Región Caribe
13;   Bo%lívar   ;13433;   Mah!a?tes   ;469,0638736;30573;66,6;Región Caribe
13;   Bolív>ar   ;13440;Margarit!a   ;322,5822368;11883;86,7;Región Caribe
13; Bolív>ar;13442;   María   la*?'! &  Baja #  ;511,978343;51264;58,4;Región Caribe
13;   Bolí>var   ;13458;M#o!ntecristo   ;1949,346076;18500;79;Región Caribe
13;Bolívar   ;13468;Mo#m!'*pós;613,8073767;49152;51,5;Región Caribe
13;Bolív>ar ;13473;Mora!l#es   ;1409,129136;24959;70,1;Región Caribe
13; Bolívar ;13549;P&in!*i?llos;814,5344092;26866;87,5;Región Caribe
13;   Bolí>var   ;13580; R*egi?#'dor;200,592617;7634;38,8;Región Caribe
13; Bolí>var ;13600; R'í!o V&iej*o ;920,5833202;11617;52,8;Región Caribe
13;   Bolívar   ;13620;San !?C&'#ristóbal ;42,05493743;8798;24,4;Región Caribe
13;Bolívar   ;13647;Sa&?n *  Estanislao;228,3763203;20100;34,7;Región Caribe
13;   Bolívar;13650;San Fernand'?o ;321,1062937;13934;86,1;Región Caribe
13; Bo%lí>var ;13654;San   Jacinto;414,7456997;26099;14,7;Región Caribe
13;   Bolívar   ;13655;San? Jacinto d&el !Cauc#a ;614,7035122;11175;77,3;Región Caribe
13;   Bo%lí>var;13657; San Ju&an Nep'omuceno ;608,1514912;40621;27,3;Región Caribe
13;   Bolívar   ;13667; Sa'n M&artín d#e Loba;481,9693517;16176;53,2;Región Caribe
13; Bo%lí>var ;13670;San   Pablo   &de   Borbur;2150,420456;29948;20,7;Región Caribe
13;Bolívar ;13673;  '# Santa !  &Catalina?   ;175,1897197;16156;63,4;Región Caribe
13; Bolív>ar ;13683;   Sant?!a   Rosa;155,0694421;23042;10;Región Caribe
13;   Bo%lívar;13688;Santa   Rosa !  d?el *  Sur;2336,315124;36335;41,1;Región Caribe
13;   Bo%lí>var   ;13744; S?i!m&ití;1337,238116;20209;69,6;Región Caribe
13;Bolívar ;13760;   #Soplaviento   ;84,22952764;11701;1,7;Región Caribe
13;Bolívar;13780;Tala*i'g#ua! ?  Nuevo   ;268,3544873;14092;54,4;Región Caribe
13; Bolívar ;13810; Ti#?quisio;733,8553549;19763;68,4;Región Caribe
13; Bolívar;13836;   *Turba?co&   ;200,2647066;116223;9;Región Caribe
13;Bo%lívar;13838; T!u&rba*ná;203,3084318;18037;26,6;Región Caribe
13; Bo%lívar ;13873;Villanu*&eva ;132,1191514;26130;14,5;Región Caribe
13;   Bolí>var   ;13894; 'Za!mb?#ra&no;287,7320633;12970;13,9;Región Caribe
15;Boyacá     ;15001;T!u#n?ja;130,4509968;188945;4,1;Región Centro Oriente
15;Boyacá     ;15022;Alm*e?ida #  ;52,80821;2076;78,3;Región Centro Oriente
15;Boya%cá               ;15047;Aquit#!ani?a ;967,7045452;16648;58,2;Región Centro Oriente
15; Boyacá      ;15051; A?rca&b'#uco;132,8822018;6392;55,8;Región Centro Oriente
15;   Boya%cá               ;15087; Be'?*lén ;152,2318273;8070;36,4;Región Centro Oriente
15;Boya%cá     ;15090; ?#!Berb&'eo ;60,92393967;1703;69,1;Región Centro Oriente
15;Boya%cá   >               ;15092;   Betéi#t*iv?a &  ;93,44301606;2083;79,2;Región Centro Oriente
15;   Boyacá   >               ;15097;  & Boa#v!ita;134,0039104;5487;49,6;Región Centro Oriente
15; Boyacá     ;15104;   Bo*?!yacá;49,93494172;5504;80,9;Región Centro Oriente
15;Boyacá      ;15106; Brice#*ño;67,72171111;2331;74,1;Región Centro Oriente
15; Boya%cá >     ;15109; ?'  Buena   Vista   ;119,9915792;4732;78,2;Región Centro Oriente
15;Boyacá      ;15114;B&us!ban*zá   ;25,44623064;1219;57,4;Región Centro Oriente
15;   Boyacá                  ;15131;Caldas ;77,22430485;3361;88;Región Centro Oriente
15; Boya%cá >    ;15135; '  C!ampoher?moso;311,6878788;3320;70,5;Región Centro Oriente
15;Boya%cá     ;15162;Ce?rinza   ;66,81537825;3991;51,8;Región Centro Oriente
15;Boyacá >    ;15172;Chin&avita;138,6374424;3436;58,1;Región Centro Oriente
15;Boyacá     ;15176;Chiquin&qui?rá !  ;169,7333254;61289;11,3;Región Centro Oriente
15;   Boyacá   >            ;15180; Chis&cas ;689,4688717;4234;74,2;Región Centro Oriente
15;Boya%cá     ;15183;C*hi&?'ta;739,3641128;8475;71,1;Región Centro Oriente
15; Boya%cá >     ;15185;Chi't!a&raque   ;154,4468308;6306;75,8;Región Centro Oriente
15; Boyacá >    ;15187;C#h&'i*vatá;49,44383771;3012;79,3;Región Centro Oriente
15;   Boyacá               ;15189;Ci'é*neg#a ;52,42790398;5007;69,6;Región Centro Oriente
15;   Boyacá   >               ;15204;Cómb!it*a   ;154,6766421;14183;85,9;Región Centro Oriente
15;Boyacá     ;15212; ?Co#pe'r ;159,2901014;3881;71,4;Región Centro Oriente
15;Boyacá   >            ;15215;Co?rrale#s ;62,42788708;2698;35,6;Región Centro Oriente
15;Boyacá >    ;15218;Covar?ac!'&hía ;105,8416702;2967;77,9;Región Centro Oriente
15;   Boyacá                  ;15223; ?  Cubará# &  ;1259,120703;11392;75,1;Región Centro Oriente
15;   Boya%cá   >            ;15224;Cu&cai'ta ;45,28819176;4047;56,9;Región Centro Oriente
15; Boyacá     ;15226;C#u?ítiva;48,45342738;1944;82,3;Región Centro Oriente
15;Boyacá   >            ;15232; C*híqu?'i!za;126,4934042;5061;88,9;Región Centro Oriente
15;Boyacá   >               ;15236; & # C*h'!ivor;106,9576589;2698;69,9;Región Centro Oriente
15;   Boyacá               ;15238;D'ui?*tama ;226,562335;134091;10,7;Región Centro Oriente
15;Boya%cá     ;15244; ?El Coc&u!y ;219,5785997;4477;43,8;Región Centro Oriente
15;Boyacá                  ;15248;El Espi'no ;73,27353037;3269;52,4;Región Centro Oriente
15;   Boya%cá               ;15272;F&irav!itoba ;117,5136935;7261;59,8;Región Centro Oriente
15; Boya%cá     ;15276;  * Floresta #?  ;90,08497109;3493;60;Región Centro Oriente
15;   Boyacá               ;15293;G&achantiv#*!á ;83,68554311;3009;75,6;Región Centro Oriente
15;Boyacá                  ;15296;Ga!m#e'&za;133,3877827;5203;69,5;Región Centro Oriente
15;Boyacá               ;15299; Gara&#go!a ;205,5600471;19582;28,2;Región Centro Oriente
15;   Boya%cá   >               ;15317;Guacam'!ay#a?s ;60,44876217;1983;62,9;Región Centro Oriente
15;   Boyacá               ;15322;   Gu&at*eque   ;39,4664127;11631;27,2;Región Centro Oriente
15;Boyacá     ;15325;Gu!a&yatá;91,39491114;3579;63,2;Región Centro Oriente
15;Boya%cá                  ;15332;   Güi*cá#n   ;871,3786532;4570;65,5;Región Centro Oriente
15; Boyacá     ;15362;   Iz!a *'?  ;36,70303513;2125;37,6;Región Centro Oriente
15;Boya%cá >    ;15367; Jen*#e!?sano;63,82651698;7829;72,2;Región Centro Oriente
15;   Boya%cá               ;15368; '?!  Je#*ricó;143,3966368;4208;64,7;Región Centro Oriente
15;Boyacá                  ;15377;La*branzagrande;632,034606;3755;63,1;Región Centro Oriente
15; Boyacá      ;15380; &!L#?a Cap*illa;59,61405292;2882;58,3;Región Centro Oriente
15;   Boyacá   >               ;15401;La &Vi#ctoria ;29,04761947;1202;58,9;Región Centro Oriente
15;Boyacá     ;15403;La *  U#&vita;153,3614728;3246;51,8;Región Centro Oriente
15;   Boyacá               ;15407; Villa de&* Leyva;134,4619047;17787;48,1;Región Centro Oriente
15;Boya%cá   >            ;15425;M'a*!canal;219,0314507;5396;73,1;Región Centro Oriente
15;Boyacá               ;15442; *Mari&!pí ;154,4039891;6147;82,4;Región Centro Oriente
15;Boyacá >     ;15455; &  M?iraf*l'ores;280,3025092;9575;36,9;Región Centro Oriente
15;   Boya%cá   >            ;15464;  * Mongua;386,2080337;4980;54;Región Centro Oriente
15;   Boyacá               ;15466; !  Mo?n&*guí   ;72,00841399;4527;44,1;Región Centro Oriente
15;   Boyacá   >            ;15469;Mo*n?iquirá;211,5152758;24596;45,4;Región Centro Oriente
15;Boyacá   >               ;15476;   !*Motav#ita;62,37906411;6072;81,9;Región Centro Oriente
15;Boyacá >    ;15480; M#u!'zo;128,4490841;9186;32;Región Centro Oriente
15;   Boyacá               ;15491;No?!b&sa;57,45945457;17500;64,6;Región Centro Oriente
15; Boya%cá      ;15494;Nue?vo Co*l'ón;49,52933327;5538;76,5;Región Centro Oriente
15;Boya%cá                  ;15500; ?  Oi&catá;61,26402231;3085;81,5;Región Centro Oriente
15;Boyacá     ;15507; #Ot!anc'he ;439,6358047;8699;52,4;Región Centro Oriente
15; Boyacá      ;15511;Pac#havita'&   ;66,96271461;2637;74,6;Región Centro Oriente
15;Boyacá                  ;15514;Páez ?'&  ;318,6591225;3499;54,1;Región Centro Oriente
15;Boyacá     ;15516;Pai&pa;326,8803686;36778;36,7;Región Centro Oriente
15;   Boya%cá               ;15518; ?  Paj'ar!ito;302,5443245;2560;55,9;Región Centro Oriente
15;   Boya%cá   >               ;15522; Pan*q#ue?ba;36,5278932;1845;48,3;Región Centro Oriente
15;Boya%cá               ;15531;Pauna#   ;259,6100945;7689;67;Región Centro Oriente
15;Boyacá                  ;15533;Pay#*a   ;427,151487;2812;75,5;Región Centro Oriente
15;Boyacá   >            ;15537;Paz   de  * 'Río?! &  ;113,4542173;4560;32,8;Región Centro Oriente
15;Boya%cá     ;15542; Pes#ca ;246,0053189;7256;63,5;Región Centro Oriente
15;   Boyacá                  ;15550; &Pisba ;509,9095406;1899;64,9;Región Centro Oriente
15;   Boyacá               ;15572;Pu*?erto   Boyacá;1645,668124;51143;26,9;Región Centro Oriente
15; Boyacá >    ;15580; #?&  Quípama;170,5257466;5308;69,2;Región Centro Oriente
15; Boyacá >     ;15599; Ramiriquí;132,1233568;10743;55,4;Región Centro Oriente
15;   Boyacá                  ;15600; Ráqui*'r?a ;225,4399691;8618;65,1;Región Centro Oriente
15;Boyacá                  ;15621; R'o!ndón;221,3602827;2564;70,4;Región Centro Oriente
15;   Boyacá   >               ;15632;   S!&aboyá   ;255,185162;14765;88,8;Región Centro Oriente
15;Boyacá                  ;15638;Sá!ch'&ica;69,69646199;5989;49,6;Región Centro Oriente
15; Boyacá >    ;15646;S?!a#'macá;150,9766848;20038;56,9;Región Centro Oriente
15;Boya%cá     ;15660;   San   Ed'uardo   ;117,153858;1793;51,3;Región Centro Oriente
15;   Boya%cá               ;15664; San José& de! Pare;75,77295284;5380;76;Región Centro Oriente
15;Boyacá     ;15667; San Lu?is !de Gaceno;460,9575959;5919;52,5;Región Centro Oriente
15; Boyacá     ;15673;   San#&   Mat!eo;112,3930431;3606;59,8;Región Centro Oriente
15;   Boya%cá                  ;15676;S!an'# Migu&el de Sema ;93,67770634;3228;82,7;Región Centro Oriente
15;Boyacá                  ;15681;   Sa#n   Pabl?o! &  de   Borbur;184,587943;7166;84,6;Región Centro Oriente
15;   Boya%cá                  ;15686;S?antana&   ;67,46889616;8230;62,9;Región Centro Oriente
15;Boyacá               ;15690;Sa*'n&ta María ;283,9507774;3767;38,8;Región Centro Oriente
15;   Boyacá               ;15693;Santa   Rosa  # de   Vi&terbo   ;112,85687;14257;37,1;Región Centro Oriente
15;   Boyacá   >               ;15696; Santa Sofía;78,98348011;3442;64,4;Región Centro Oriente
15;Boya%cá      ;15720; Sativanorte ;171,9485614;2347;65;Región Centro Oriente
