DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region
15;Boyacá;15835;Turmequé;77,21;6598;62,6;Región Centro Oriente
15;Boyacá;15837;Tuta;179,55;9008;67,5;Región Centro Oriente
15;Boyacá;15839;Tutazá;121,79;2204;88,2;Región Centro Oriente
15;Boyacá;15842;Umbita;134,62;8120;82,2;Región Centro Oriente
15;Boyacá;15861;Ventaquemada;162,58;17192;80,9;Región Centro Oriente
15;Boyacá;15879;Viracachá;63,72;3024;81,5;Región Centro Oriente
15;Boyacá;15897;Zetaquira;226,74;4996;70,6;Región Centro Oriente
17;Caldas;17001;Manizales;400,13;459262;5,2;Región Eje Cafetero
17;Caldas;17013;Aguadas;475,91;23649;45,1;Región Eje Cafetero
17;Caldas;17042;Anserma;204,84;37757;39,8;Región Eje Cafetero
17;Caldas;17050;Aranzazu;144,1;10910;31;Región Eje Cafetero
17;Caldas;17088;Belalcázar;113,9;10995;51,7;Región Eje Cafetero
17;Caldas;17174;Chinchiná;109,95;53884;10,6;Región Eje Cafetero
17;Caldas;17272;Filadelfia;198,98;11779;60,8;Región Eje Cafetero
17;Caldas;17380;La dorada;601,99;75837;11,5;Región Eje Cafetero
17;Caldas;17388;La merced;87,38;6312;58;Región Eje Cafetero
17;Caldas;17433;Manzanares;181,17;18872;37,9;Región Eje Cafetero
17;Caldas;17442;Marmato;40,37;9341;83,3;Región Eje Cafetero
17;Caldas;17444;Marquetalia;87,52;13763;46,8;Región Eje Cafetero
17;Caldas;17446;Marulanda;364,94;2743;63,9;Región Eje Cafetero
17;Caldas;17486;Neira;363,67;21755;39,7;Región Eje Cafetero
17;Caldas;17495;Norcasia;233,74;6168;29,6;Región Eje Cafetero
17;Caldas;17513;Pácora;248,84;15866;46,9;Región Eje Cafetero
17;Caldas;17524;Palestina;105,94;16121;62,3;Región Eje Cafetero
17;Caldas;17541;Pensilvania;499,09;20450;55,2;Región Eje Cafetero
17;Caldas;17614;Riosucio;377,86;54360;59,4;Región Eje Cafetero
17;Caldas;17616;Risaralda;85,75;11367;54,3;Región Eje Cafetero
17;Caldas;17653;Salamina;423,16;20172;37,3;Región Eje Cafetero
17;Caldas;17662;Samaná;810,15;21527;64,2;Región Eje Cafetero
17;Caldas;17665;San josé;58,89;4978;67,7;Región Eje Cafetero
17;Caldas;17777;Supía;120,57;30136;48,3;Región Eje Cafetero
17;Caldas;17867;Victoria;527,14;10571;52,7;Región Eje Cafetero
17;Caldas;17873;Villamaría;499,87;69415;10,9;Región Eje Cafetero
17;Caldas;17877;Viterbo;114,02;13292;13,8;Región Eje Cafetero
18;Caquetá;18001;Florencia;2480,08;180323;11,5;Región Centro Sur
18;Caquetá;18029;Albania;424,17;4835;50,7;Región Centro Sur
18;Caquetá;18094;Belén de los andaquies;1279,91;11644;36,7;Región Centro Sur
18;Caquetá;18150;Cartagena del chairá;13146,61;33032;46,5;Región Centro Sur
18;Caquetá;18205;Curillo;403,12;8150;29,3;Región Centro Sur
18;Caquetá;18247;El doncello;1165,92;20491;29,4;Región Centro Sur
18;Caquetá;18256;El paujil;1344,98;19426;49,3;Región Centro Sur
18;Caquetá;18410;La montañita;1724,25;15695;80,4;Región Centro Sur
18;Caquetá;18460;Milán;1134,31;10421;87,7;Región Centro Sur
18;Caquetá;18479;Morelia;492,69;3953;44,2;Región Centro Sur
18;Caquetá;18592;Puerto rico;4542,15;28084;42,9;Región Centro Sur
18;Caquetá;18610;San josé del fragua;1313,47;13886;47,8;Región Centro Sur
18;Caquetá;18753;San vicente del caguán;18524,06;54932;51,2;Región Centro Sur
18;Caquetá;18756;Solano;45372,24;12196;73,5;Región Centro Sur
18;Caquetá;18785;Solita;505,6;6421;38,9;Región Centro Sur
18;Caquetá;18860;Valparaíso;1280,72;7395;65,4;Región Centro Sur
19;Cauca;19001;Popayán;464,74;346403;18,4;Región Pacífico
19;Cauca;19022;Almaguer;250,64;19850;94,8;Región Pacífico
19;Cauca;19050;Argelia;818,83;28420;91,5;Región Pacífico
19;Cauca;19075;Balboa;398,14;22863;76,3;Región Pacífico
19;Cauca;19100;Bolívar;779,71;40107;88,8;Región Pacífico
19;Cauca;19110;Buenos aires;431,55;36190;97,8;Región Pacífico
19;Cauca;19130;Cajibío;589,18;45481;96,5;Región Pacífico
19;Cauca;19137;Caldono;377,19;43643;96,4;Región Pacífico
